护栏 横杆 连接 装置   本 实用新型 涉及 护栏 横杆 连接 装置 ， 包括 上盖 、 下盖 及 套管 ， 所述 上盖 与 下 盖 组合 安装 ， 套管 将 上 盖 与 下 盖 固定 连接 ， 上盖 与 下 盖 安装 后 的 组合体 包括 位于 竖直 向且 两端 贯穿 的 空腔 ， 该 空腔 的 两侧 设有 向 水平 向 延伸 的 安装 腔 ， 套管 呈环 形状 ， 空腔 下方 开口 的 内壁 设有 定位 凹槽 。 本 实用新型 采用 塑料 ABS 一体 注塑 而成 ， 具有 强度 好 韧性 高 的 特点 ， 相比 金属件 尤其 适用 于 室外 露天 环境 ， 解决 了 金属件 会 生锈 腐蚀 ， 后期 不好 拆卸 等 问题 ， 塑料件 轻便 ， 拆卸 方便 ， 可 快速 完成 装配 且 制造 成本低 。 

桥梁 防撞 栏 装修 平台   本 实用新型 涉及 桥梁 防撞 栏 施工 平台 包括 主梁 、 爬梯 、 支撑 台 和 施工 台 ， 支撑 台 设在 主梁 侧方 ， 俩 主梁 与 支撑 台 固定 连接 ， 支撑 台 包括 框体 、 第一 连接 杆及 第二 连接 杆 ， 第一 连接 杆 或 第二 连接 杆 与 框体 固定 连接 ， 第一 连接 杆 、 第二 连接 杆 与 主梁 固定 连接 ， 第一 连接 杆 、 第二 连接 杆 、 主梁 固定 连接 三者 围成 一个 直角三角形 状 的 连接 支架 ， 框体 下 底面 安装 有 脚轮 ， 主梁 下方 固定 连接 施工 台 ， 爬梯 呈 竖直 向 设置 ， 施工 台 支撑 爬梯 ， 爬梯 与 主梁 固定 连接 。 本 实用新型 采用 空心 管材 搭建 组合而成 ， 不仅 强度 高 ， 产品 整体 结构 轻量化 ， 移动 更加 方便 。 

桥梁 混凝土 施工 的 竖向 预应力 钢筋 检测 模块   本 实用新型 涉及 桥梁 混凝土 施工 的 竖向 预应力 钢筋 检测 模块 及 检测 方法 ， 包括 基板 和 应变 片 ， 所述 应变 片贴 覆于 基板 ， 应变 片 与 基板 两者 相对 固定 安装 ， 基板 上 设有 贯穿 的 开孔 ， 贴覆于 基板 的 应变 片 数量 为 一片 或 多片 。 桥梁 混凝土 施工 的 竖向 预应力 钢筋 检测 模块 、 螺母 、 钢筋 及 应变 测试仪 ， 所述 桥梁 混凝土 施工 的 竖向 预应力 钢筋 检测 模块 包括 基板 和 应变 片 ， 所述 应变 片贴 覆于 基板 ， 应变 片 与 基板 两者 相对 固定 安装 ， 基板 上 设有 贯穿 的 开孔 ， 所述 钢筋 的 一端 穿透 该开 孔后 与 螺母 螺纹 连接 ， 钢筋 的 另一端 相对 固定 ， 应变 测试仪 连接 应变 片 采集 应变 片 数据 ， 应变 测试仪 根据 从 应变 片处 采集 的 数据 ， 判断 钢筋 受力 段 的 拉力 是否 达到 设定 的 要求 。 

挂篮 底模 与 吊杆 连接 机构   本 实用新型 涉及 挂篮 底模 与 吊杆 连接 机构 ， 包括 吊杆 、 螺母 和 连接 架 ， 吊杆 为 螺纹钢 ， 其 特征 是 ： 所述 连接 架 包括 U 型 架 、 第一 板材 、 第二 板材 、 第三 板材 ， U 型 架 包括 端面 、 左侧 面 、 右侧 面 ， 端面 设在 左侧 面 与 右侧 面 之间 ， 端面 分别 固定 连接 左侧 面 、 右侧 面 ； 第一 板材 设在 左侧 面 与 右侧 面 之间 ， 第一 板材 分别 固定 连接 左侧 面 、 右侧 面 ； 第二 板材 分别 固定 连接 端面 、 第一 板材 ； 第三 板材 位于 第二 板材 的 相对 面 ， 第三 板材 分别 固定 连接 端面 、 第一 板材 ； 端面 和 第一 板材 均 设有 开孔 ， 吊杆 经开 孔 穿透 端面 和 第一 板材 ， 螺母 设在 第一 板材 下方 与 吊杆 螺纹 连接 。 

适用 于 贝雷架 焊接 的 可 翻转 的 正反 双面 焊接 工作台   适用 于 贝雷架 焊接 的 可 翻转 的 正反 双面 焊接 工作台 ， 包括 底座 、 可 转动 的 翻转 框 和 用于 固定 焊接件 的 定位 装置 ， 底座 与 可 转动 的 翻转 框 转动 安装 ， 定位 装置 固定设置 在 翻转 框 ， 所述 底座 包括 至少 两个 立柱 ， 两 立柱 采用 横梁 固定 连接 或 两 立柱 与 地面 固定 连接 ， 翻转 框 设在 两 立柱 之间 ， 翻转 框 设在 两 立柱 之间 ， 翻转 框 与 立柱 采用 转轴 实现 翻转 框 与 立柱 的 转动 安装 ； 翻转 框 的 框架 空间 内 具有 贯穿 的 通透 空间 。 

用于 浇筑 施工 的 模板   用于 浇筑 施工 的 模板 ， 包括 外框 、 纵梁 、 底板 ； 所述 外框 是 采用 金属材料 制成 的 框体 ， 底板 封盖 外 框内 的 通透 空间 并 与 外框 固定 连接 ， 还 包括 螺纹 杆 和 与 螺纹 杆 螺纹 连接 的 螺母 ， 所述 底板 上 分布 有 若干 螺纹 杆 ， 螺纹 杆 一端 与 底板 固定 连接 ， 螺纹 杆 另一端 穿射 纵梁 后 与 螺母 螺纹 连接 ； 拧紧 螺母 ， 底板 与 纵梁 相 紧固 连接 。 
